title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Mushkin Redline Lumina 32 GB,None,$82.49,DDR4-3600,2 x 16GB,$2.578,White,10 ns,18
G.Skill Trident Z Royal 32 GB,None,None,DDR4-4400,2 x 16GB,None,Silver,8.636 ns,19
Kingston FURY Beast 16 GB,None,$72.98,DDR5-6400,1 x 16GB,$4.561,White,10 ns,32
G.Skill Ripjaws V 16 GB,4.5,None,DDR4-3000,2 x 8GB,None,Black / Red,10 ns,15
G.Skill Trident Z RGB 16 GB,5.0,None,DDR4-4266,2 x 8GB,None,Multicolor,8.908 ns,19
Corsair Vengeance LPX 16 GB,5.0,$125.00,DDR4-3200,2 x 8GB,$7.812,Black,10 ns,16
Crucial Ballistix RGB 16 GB,5.0,None,DDR4-3200,2 x 8GB,None,Red,10 ns,16
Crucial CT2K32G52C42U5 64 GB,None,$189.95,DDR5-5200,2 x 32GB,$2.968,Black,16.154 ns,42
Patriot Viper Venom RGB 32 GB,None,$114.99,DDR5-6800,2 x 16GB,$3.593,Black / White,11.765 ns,40
Kingston FURY Beast 8 GB,None,None,DDR5-6000,1 x 8GB,None,Black,10 ns,30
Kingston FURY Beast 16 GB,None,$72.31,DDR5-6400,1 x 16GB,$4.519,Black,10 ns,32
Corsair Vengeance LPX 16 GB,5.0,None,DDR4-3000,2 x 8GB,None,Blue,10 ns,15
Corsair Vengeance LPX 32 GB,None,None,DDR4-2400,4 x 8GB,None,Black / Yellow,12.5 ns,15
G.Skill Ripjaws V 16 GB,4.5,None,DDR4-2400,2 x 8GB,None,Blue,12.5 ns,15
Corsair Dominator Platinum 32 GB,5.0,None,DDR4-3200,2 x 16GB,None,Black / Silver,10 ns,16
Crucial Ballistix Sport LT 16 GB,4.5,None,DDR4-2666,2 x 8GB,None,White,12.003 ns,16
Crucial Ballistix Sport LT 8 GB,None,None,DDR4-2666,1 x 8GB,None,Gray,12.003 ns,16
Kingston HyperX Predator RGB 32 GB,4.5,None,DDR4-3200,4 x 8GB,None,Black,10 ns,16
Corsair Vengeance RGB Pro 32 GB,4.5,$398.00,DDR4-3000,2 x 16GB,$12.438,Black,10 ns,15
ADATA AD4U2400W4G17-S 4 GB,None,None,DDR4-2400,1 x 4GB,None,Green / Black,14.167 ns,17
Corsair Dominator Platinum RGB 64 GB,5.0,None,DDR4-3600,4 x 16GB,None,Black,10 ns,18
Corsair Vengeance LPX 128 GB,None,None,DDR4-4000,8 x 16GB,None,Black / Yellow,9.5 ns,19
OLOy MD4U083016BGDA 16 GB,4.5,None,DDR4-3000,2 x 8GB,None,Black,10.667 ns,16
Kingston HyperX Fury RGB 16 GB,5.0,None,DDR4-3200,1 x 16GB,None,Black,10 ns,16
G.Skill Trident Z Royal 64 GB,None,$715.06,DDR4-3600,8 x 8GB,$11.173,Silver,7.778 ns,14
G.Skill Trident Z Neo 32 GB,None,None,DDR4-4000,2 x 16GB,None,Black / Silver,8 ns,16
G.Skill Trident Z Royal Elite 32 GB,5.0,None,DDR4-4000,2 x 16GB,None,Silver / Black,7 ns,14
G.Skill Trident Z Royal Elite 32 GB,None,None,DDR4-3600,2 x 16GB,None,Silver,8.889 ns,16
G.Skill TridentZ RGB  32 GB,None,None,DDR4-4400,2 x 16GB,None,Black,7.727 ns,17
Corsair Vengeance RGB Pro 32 GB,None,None,DDR4-3600,2 x 16GB,None,Black,7.778 ns,14
Kingston FURY Beast RGB 8 GB,None,None,DDR5-4800,1 x 8GB,None,Black,15.833 ns,38
Kingston ValueRAM 16 GB,5.0,None,DDR4-2666,2 x 8GB,None,Green,14.254 ns,19
ADATA XPG GAMMIX D20 16 GB,None,None,DDR4-3200,1 x 16GB,None,Black / Silver,10 ns,16
Mushkin Redline 32 GB,None,None,DDR4-3200,2 x 16GB,None,Black,8.75 ns,14
V-Color Manta XPrism RGB 64 GB,None,None,DDR5-6000,2 x 32GB,None,Silver,11.333 ns,34
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,3.0,None,DDR5-6000,2 x 16GB,None,Black,12.667 ns,38
GOODRAM IRDM 64 GB,None,None,DDR5-6800,2 x 32GB,None,Black,10 ns,34
Silicon Power XPOWER Storm RGB 64 GB,None,None,DDR5-7200,2 x 32GB,None,Black,9.444 ns,34
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,None,None,DDR5-5200,1 x 32GB,None,Black,15.385 ns,40
Klevv CRAS V RGB 48 GB,None,None,DDR5-7200,2 x 24GB,None,Black,9.444 ns,34
G.Skill Ripjaws 64 GB,None,$102.99,DDR4-3200,2 x 32GB,$1.609,Blue / Black,13.75 ns,22
G.Skill Ripjaws 32 GB,None,$49.99,DDR4-3200,2 x 16GB,$1.562,Black,13.75 ns,22
Mushkin Redline 64 GB,None,None,DDR4-3200,2 x 32GB,None,None,13.75 ns,22
Kingston FURY Impact 32 GB,None,$64.98,DDR4-3200,1 x 32GB,$2.031,Black,12.5 ns,20
Crucial CT64G56C46S5 64 GB,None,$156.99,DDR5-5600,1 x 64GB,$2.453,Black,16.429 ns,46
Crucial CT2KIT102464BF160B 16 GB,None,$29.99,DDR3-1600,2 x 8GB,$1.874,Green,13.75 ns,11
G.Skill Trident Z Royal 16 GB,None,None,DDR4-3000,2 x 8GB,None,Gold,10.667 ns,16
Corsair Vengeance RGB RT 32 GB,None,$110.99,DDR4-3200,4 x 8GB,$3.468,Black,10 ns,16
Crucial CT8G4SFS824A 8 GB,None,$14.89,DDR4-2400,1 x 8GB,$1.861,Green / Black,14.167 ns,17
Corsair Vengeance 32 GB,None,$112.99,DDR5-6000,2 x 16GB,$3.531,White / Gray,12 ns,36
Patriot Viper Steel RGB 16 GB,None,$37.99,DDR4-3200,1 x 16GB,$2.374,Black,11.25 ns,18
Silicon Power XPOWER Storm RGB 64 GB,None,$164.99,DDR5-6000,2 x 32GB,$2.578,Gray,12.667 ns,38
Corsair Dominator Platinum RGB 16 GB,None,$79.05,DDR4-4000,2 x 8GB,$4.941,White,9.5 ns,19
TEAMGROUP Elite Plus 32 GB,None,$78.98,DDR5-4800,1 x 32GB,$2.468,Silver,16.667 ns,40
G.Skill Trident Z Neo 16 GB,None,None,DDR4-4000,2 x 8GB,None,Black / White,7 ns,14
G.Skill Trident Z RGB 128 GB,None,None,DDR4-3200,4 x 32GB,None,None,8.75 ns,14
G.Skill Sniper 32 GB,None,None,DDR3-2133,4 x 8GB,None,Black / Red,9.376 ns,10
G.Skill Trident Z RGB 16 GB,4.5,$255.75,DDR4-3200,2 x 8GB,$15.984,Black,8.75 ns,14
Kingston Fury Renegade RGB 32 GB,None,$209.93,DDR5-7600,2 x 16GB,$6.560,Silver / White,10 ns,38
TEAMGROUP T-Force Delta RGB 48 GB,None,None,DDR5-7600,2 x 24GB,None,White,9.474 ns,36
Patriot Viper Steel 16 GB,5.0,None,DDR4-4133,2 x 8GB,None,Silver / Black,9.194 ns,19
G.Skill Trident Z Neo 64 GB,None,None,DDR4-3200,4 x 16GB,None,Silver / Black,10 ns,16
G.Skill Ripjaws S5 32 GB,None,$99.99,DDR5-5600,2 x 16GB,$3.125,Black,10.714 ns,30
ADATA XPG CASTER RGB 32 GB,None,$388.94,DDR5-6000,2 x 16GB,$12.154,Black / Silver,13.333 ns,40
Kingston FURY Renegade Pro 128 GB,None,$721.59,DDR5-5600,4 x 32GB,$5.637,Black,12.857 ns,36
Biwin Black Opal HX100 32 GB,None,None,DDR5-6000,2 x 16GB,None,Silver,10 ns,30
Kingston Fury Renegade RGB 32 GB,5.0,None,DDR4-3600,2 x 16GB,None,Black / Silver,8.889 ns,16
Kingston FURY Renegade 32 GB,4.0,$153.43,DDR4-3600,4 x 8GB,$4.795,Black,8.889 ns,16
Timetec PINNACLE Konduit RGB 32 GB,None,$53.99,DDR4-3600,1 x 32GB,$1.687,White,10 ns,18
Apacer Panther 32 GB,None,None,DDR5-5200,2 x 16GB,None,Silver / Black,14.615 ns,38
Acer Predator Vesta II RGB 32 GB,None,None,DDR5-6000,2 x 16GB,None,Black,10.667 ns,32
V-Color TRA548G72D834Q 192 GB,None,None,DDR5-7200,4 x 48GB,None,White,9.444 ns,34
ADATA XPG SPECTRIX D35G RGB 32 GB,None,$87.14,DDR4-3600,1 x 32GB,$2.723,Black,10 ns,18
Silicon Power XPOWER Storm RGB 32 GB,None,None,DDR5-6400,1 x 32GB,None,White,10 ns,32
Klevv CRAS V RGB 48 GB,None,None,DDR5-7200,2 x 24GB,None,White,9.444 ns,34
Klevv CRAS V RGB ROG CERTIFIED 32 GB,None,None,DDR5-7200,2 x 16GB,None,White / Black,9.444 ns,34
G.Skill Ripjaws S5 64 GB,None,$184.99,DDR5-5600,2 x 32GB,$2.890,White,10.714 ns,30
G.Skill Trident Z5 Neo RGB 32 GB,None,$114.99,DDR5-5600,2 x 16GB,$3.593,Black,10.714 ns,30
Samsung M471A1K43BB1-CRC 8 GB,None,$13.99,DDR4-2400,1 x 8GB,$1.749,Green,14.167 ns,17
Kingston FURY 64 GB,None,$183.96,DDR5-5200,2 x 32GB,$2.874,White,15.385 ns,40
Mushkin Proline 32 GB,None,$144.50,DDR4-3200,1 x 32GB,$4.516,None,13.75 ns,22
G.Skill Ripjaws S5 32 GB,None,None,DDR5-5600,2 x 16GB,None,White,16.429 ns,46
G.Skill Trident Z Neo 64 GB,5.0,None,DDR4-3200,4 x 16GB,None,Silver / Black,8.75 ns,14
G.Skill Trident Z Royal Elite 64 GB,None,$259.99,DDR4-3600,4 x 16GB,$4.062,Gold,8.889 ns,16
Mushkin Redline Lumina White 32 GB,None,$139.93,DDR5-6000,2 x 16GB,$4.373,White,10 ns,30
Kingston Fury Renegade RGB 32 GB,None,$140.44,DDR5-6400,1 x 32GB,$4.389,Silver / White,10 ns,32
G.Skill TridentZ RGB  32 GB,None,None,DDR4-4266,2 x 16GB,None,Black,8.908 ns,19
Kingston FURY Beast RGB 32 GB,None,$125.04,DDR5-6000,1 x 32GB,$3.908,Black,10 ns,30
G.Skill Ripjaws M5 RGB 64 GB,None,None,DDR5-6000,2 x 32GB,None,White,10.667 ns,32
G.Skill Ares 32 GB,None,$129.07,DDR3-2400,4 x 8GB,$4.033,None,9.167 ns,11
TEAMGROUP T-Force Xtreem ARGB 16 GB,None,$285.12,DDR4-3200,2 x 8GB,$17.820,White,8.75 ns,14
Kingston FURY Beast 32 GB,None,$126.73,DDR5-6400,1 x 32GB,$3.960,White,10 ns,32
Kingston HyperX Fury 16 GB,None,None,DDR3-1333,2 x 8GB,None,Black / Silver,13.503 ns,9
G.Skill NT 8 GB,4.0,$28.20,DDR4-2133,1 x 8GB,$3.525,Black,14.065 ns,15
G.Skill NT 16 GB,4.5,$43.53,DDR4-2400,2 x 8GB,$2.721,Black,12.5 ns,15
Corsair Vengeance LPX 16 GB,None,None,DDR4-4000,2 x 8GB,None,Black,8 ns,16
TEAMGROUP T-Force Vulcan 32 GB,None,$172.83,DDR5-5600,2 x 16GB,$5.401,Red,12.857 ns,36
G.Skill Sniper X 32 GB,None,$84.42,DDR4-3600,2 x 16GB,$2.638,Black / White,10.556 ns,19
Corsair Dominator Platinum RGB 64 GB,None,None,DDR4-3200,2 x 32GB,None,Black,10 ns,16
Crucial Ballistix Sport 8 GB,4.5,$37.90,DDR3-1600,2 x 4GB,$4.737,Black / Silver,11.25 ns,9
Crucial CT2KIT51264BA160B 8 GB,4.5,$31.20,DDR3-1600,2 x 4GB,$3.900,Green,13.75 ns,11
Kingston HyperX Fury 8 GB,4.5,None,DDR3-1866,1 x 8GB,None,Blue / Silver,10.718 ns,10
Corsair Dominator Platinum 32 GB,5.0,$411.20,DDR3-1600,4 x 8GB,$12.850,Black / Silver,8.75 ns,7
G.Skill Ripjaws 4 64 GB,None,None,DDR4-2133,8 x 8GB,None,Red,14.065 ns,15
Crucial CT51264BD160BJ 4 GB,None,$11.50,DDR3-1600,1 x 4GB,$2.875,Black / Green,13.75 ns,11
G.Skill Aegis 8 GB,4.5,$32.48,DDR4-2400,2 x 4GB,$4.060,Black / Red,12.5 ns,15
G.Skill Trident Z 16 GB,None,$179.00,DDR4-4400,2 x 8GB,$11.188,Black,8.636 ns,19
Samsung M393A1G40EB1-CPB 8 GB,None,$25.44,DDR4-2133,1 x 8GB,$3.180,Green / Black,14.065 ns,15
Kingston FURY Beast 16 GB,None,$42.60,DDR4-3733,1 x 16GB,$2.663,Black,10.179 ns,19
Mushkin Redline Lumina 64 GB,None,$225.61,DDR4-3600,2 x 32GB,$3.525,White,8.889 ns,16
Thermaltake TOUGHRAM XG RGB 16 GB,None,$66.61,DDR4-4400,2 x 8GB,$4.163,Black / Silver,8.636 ns,19
Kingston KSM48R40BS4TMM-32HMR 32 GB,None,$173.61,DDR5-4800,1 x 32GB,$5.425,Green,16.667 ns,40
Kingston FURY Renegade 32 GB,None,$134.81,DDR5-6400,1 x 32GB,$4.213,Silver / Black,10 ns,32
Corsair Dominator 4 GB,None,None,DDR2-1066,2 x 2GB,None,Black / Blue,9.381 ns,5
G.Skill Ripjaws 8 GB,4.0,$30.21,DDR3-1333,2 x 4GB,$3.776,Black / Red,13.503 ns,9
Corsair Vengeance 8 GB,4.5,None,DDR3-1866,2 x 4GB,None,Black / Silver,9.646 ns,9
Kingston HyperX Blu 4 GB,4.0,None,DDR3-1333,1 x 4GB,None,Blue / Silver,13.503 ns,9
G.Skill F3-12800CL9S-2GBSQ 2 GB,None,$13.75,DDR3-1600,1 x 2GB,$6.875,Green,11.25 ns,9
Kingston KVR1333D3N9/8G 8 GB,4.0,None,DDR3-1333,1 x 8GB,None,Green,13.503 ns,9
G.Skill Value 8 GB,5.0,$20.73,DDR3-1333,1 x 8GB,$2.591,Black,13.503 ns,9
Kingston HyperX Fury 8 GB,4.5,None,DDR3-1866,2 x 4GB,None,Black / Silver,10.718 ns,10
ADATA XPG Z1 8 GB,5.0,None,DDR4-2800,2 x 4GB,None,Red / Black,12.143 ns,17
G.Skill Trident X 8 GB,None,None,DDR3-3200,2 x 4GB,None,Black / Red,8.125 ns,13
G.Skill Trident Z 32 GB,4.5,$110.84,DDR4-3200,4 x 8GB,$3.464,Red / Silver,10 ns,16
G.Skill Ripjaws V 32 GB,5.0,None,DDR4-2400,2 x 16GB,None,Black,11.667 ns,14
G.Skill Aegis 4 GB,5.0,None,DDR4-2133,1 x 4GB,None,Black / Red,14.065 ns,15
G.Skill Aegis 8 GB,5.0,$22.43,DDR4-2400,1 x 8GB,$2.804,Black / Red,12.5 ns,15
G.Skill Aegis 64 GB,5.0,None,DDR4-2400,4 x 16GB,None,Black / Red,12.5 ns,15
Kingston Savage 16 GB,4.5,$389.00,DDR4-3000,2 x 8GB,$24.312,Black,10 ns,15
Corsair Vengeance LPX 8 GB,None,None,DDR4-4200,2 x 4GB,None,Black / Yellow,9.048 ns,19
G.Skill FORTIS 64 GB,None,$150.90,DDR4-2400,4 x 16GB,$2.358,Black / Red,12.5 ns,15
Crucial CT4K8G4DFS8266 32 GB,None,$109.99,DDR4-2666,4 x 8GB,$3.437,Green,14.254 ns,19
TEAMGROUP T-Force Delta RGB 16 GB,5.0,None,DDR4-2400,2 x 8GB,None,White,12.5 ns,15
TEAMGROUP T-Force Delta RGB 16 GB,4.5,None,DDR4-3000,2 x 8GB,None,White,10.667 ns,16
Corsair Vengeance RGB 16 GB,4.5,None,DDR4-3000,2 x 8GB,None,Black,10.667 ns,16
Patriot Viper Elite 8 GB,4.5,$59.92,DDR4-2666,2 x 4GB,$7.490,Silver,12.003 ns,16
ADATA XPG GAMMIX D10 8 GB,None,None,DDR4-2666,1 x 8GB,None,Red / White,12.003 ns,16
Patriot Viper Elite 16 GB,5.0,None,DDR4-2400,1 x 16GB,None,Silver / Black,13.333 ns,16
Corsair Vengeance LPX 32 GB,None,None,DDR4-4133,2 x 16GB,None,Black / Yellow,9.194 ns,19
G.Skill Trident Z RGB 32 GB,5.0,None,DDR4-4000,2 x 16GB,None,Black,9.5 ns,19
Patriot Viper Elite 16 GB,4.0,None,DDR4-2666,2 x 8GB,None,Silver / Black,12.003 ns,16
Crucial Ballistix Sport LT 32 GB,5.0,None,DDR4-3200,2 x 16GB,None,Red / Black,10 ns,16
Kingston HyperX Fury RGB 16 GB,None,None,DDR4-2400,1 x 16GB,None,Black,12.5 ns,15
G.Skill Trident Z RGB 64 GB,None,None,DDR4-3600,4 x 16GB,None,Black,10 ns,18
Thermaltake TOUGHRAM 16 GB,5.0,$139.99,DDR4-3600,2 x 8GB,$8.749,Black / Silver,10 ns,18
Thermaltake TOUGHRAM RGB 16 GB,None,$129.97,DDR4-4400,2 x 8GB,$8.123,White / Silver,8.636 ns,19
Corsair Vengeance LPX 32 GB,None,None,DDR4-4600,4 x 8GB,None,Black / Yellow,7.826 ns,18
Samsung SAMSUNG 64GB 288-Pin DDR4 SDRAM ECC DDR4 2933 (PC4 23400) LR DIMM Model M386A8K40CM2-CVF 64 GB,None,None,DDR4-2933,1 x 64GB,None,Green / Black,14.32 ns,21
OLOy OWL 16 GB,None,None,DDR4-3200,2 x 8GB,None,Orange,10 ns,16
G.Skill Ripjaws V 32 GB,None,None,DDR4-4000,2 x 16GB,None,Black,8 ns,16
Corsair Vengeance LPX 32 GB,None,None,DDR4-3600,2 x 16GB,None,Black,10.556 ns,19
Klevv CRAS X RGB 16 GB,None,None,DDR4-4000,2 x 8GB,None,Black,9.5 ns,19
Corsair Dominator Platinum RGB 32 GB,4.0,None,DDR5-4800,2 x 16GB,None,Black,14.167 ns,34
Corsair Dominator Platinum RGB 32 GB,4.5,None,DDR4-3600,2 x 16GB,None,Black,7.778 ns,14
Patriot Viper Steel 16 GB,5.0,None,DDR4-4000,2 x 8GB,None,Gray / Black,8 ns,16
G.Skill TridentZ RGB  128 GB,None,None,DDR4-3600,8 x 16GB,None,Black,7.778 ns,14
Corsair Vengeance RGB Pro 128 GB,None,None,DDR4-3600,4 x 32GB,None,Black,8.889 ns,16
Kingston FURY Renegade 32 GB,None,None,DDR4-4000,2 x 16GB,None,Black,9.5 ns,19
TEAMGROUP T-Force Dark Za 16 GB,None,None,DDR4-3200,2 x 8GB,None,Black,10 ns,16
TEAMGROUP T-Force Dark Za 32 GB,None,None,DDR4-3200,2 x 16GB,None,Black,10 ns,16
ADATA XPG GAMMIX D45 8 GB,4.0,None,DDR4-3200,1 x 8GB,None,Black,10 ns,16
ADATA XPG SPECTRIX D50 16 GB,None,None,DDR4-3200,1 x 16GB,None,Black,10 ns,16
G.Skill Ripjaws V 32 GB,None,None,DDR4-3200,2 x 16GB,None,Red,10 ns,16
Silicon Power SP016GBLFU320X02 16 GB,None,None,DDR4-3200,1 x 16GB,None,None,13.75 ns,22
Thermaltake TOUGHRAM XG RGB 32 GB,None,$304.98,DDR4-3600,2 x 16GB,$9.531,White / Silver,10 ns,18
TEAMGROUP Elite 32 GB,None,None,DDR5-6000,2 x 16GB,None,Black,16 ns,48
Thermaltake TOUGHRAM XG RGB D5 32 GB,None,None,DDR5-5600,2 x 16GB,None,White / Silver,12.857 ns,36
GeIL EVO V RGB 48 GB,None,None,DDR5-6800,1 x 48GB,None,White,10.588 ns,36
ADATA XPG LANCER RGB 32 GB,None,None,DDR5-6800,2 x 16GB,None,Black,10 ns,34
Kingston FURY 16 GB,4.0,None,DDR4-2133,2 x 8GB,None,Black / Silver,13.127 ns,14
Kingston KCP421NS8/8 8 GB,5.0,$28.08,DDR4-2133,1 x 8GB,$3.510,Black / Green,14.065 ns,15
Avexir Core 16 GB,4.5,None,DDR4-2400,2 x 8GB,None,Black / Red,13.333 ns,16
Corsair Vengeance LED 32 GB,5.0,None,DDR4-3000,2 x 16GB,None,Black / White,10 ns,15
G.Skill Flare X 16 GB,5.0,None,DDR4-2133,2 x 8GB,None,Black,14.065 ns,15
Kingston Predator 16 GB,None,None,DDR4-3600,2 x 8GB,None,Black / Silver,9.444 ns,17
Kingston Predator 64 GB,None,None,DDR4-2400,4 x 16GB,None,Black,10 ns,12
Patriot Viper Elite 8 GB,4.5,None,DDR4-2400,2 x 4GB,None,Black / Red,12.5 ns,15
Patriot Viper Elite 8 GB,4.5,None,DDR4-2133,1 x 8GB,None,Black / Gray,13.127 ns,14
Crucial CT51272BA186DJ 4 GB,None,$39.99,DDR3-1866,1 x 4GB,$9.998,Black / Green,13.934 ns,13
Corsair Vengeance RGB 32 GB,5.0,$369.03,DDR4-3333,2 x 16GB,$11.532,None,9.601 ns,16
Corsair Vengeance LPX 16 GB,None,None,DDR4-2666,2 x 8GB,None,Black / Yellow,12.003 ns,16
Corsair Vengeance LPX 32 GB,None,None,DDR4-3200,2 x 16GB,None,Black / Yellow,10 ns,16
Corsair Vengeance LED 64 GB,None,$523.98,DDR4-2666,4 x 16GB,$8.187,Black / Red,12.003 ns,16
G.Skill Flare X 128 GB,None,None,DDR4-2400,8 x 16GB,None,Black,12.5 ns,15
TEAMGROUP T-Force Vulcan 64 GB,None,None,DDR4-3200,4 x 16GB,None,Silver / Black,10 ns,16
Kingston HyperX Fury 32 GB,None,None,DDR4-2133,2 x 16GB,None,Red / Silver,13.127 ns,14
Crucial CT2K8G4RFS424A 16 GB,None,$119.99,DDR4-2400,2 x 8GB,$7.499,Green / Black,14.167 ns,17
Patriot Signature Line 8 GB,4.0,None,DDR4-2666,2 x 4GB,None,Black / White,14.254 ns,19
Kingston KCP421ND8/16 16 GB,None,$47.65,DDR4-2133,1 x 16GB,$2.978,Green / Black,14.065 ns,15
ADATA XPG GAMMIX D10 8 GB,3.0,None,DDR4-2400,1 x 8GB,None,Black / White,13.333 ns,16
ADATA XPG GAMMIX D10 16 GB,None,None,DDR4-2666,1 x 16GB,None,Red / White,12.003 ns,16
Patriot Viper Venom RGB 16 GB,None,None,DDR4-4133,2 x 8GB,None,Black / Silver,9.194 ns,19
TEAMGROUP T-Force XCalibur RGB 16 GB,None,None,DDR4-4000,2 x 8GB,None,Black,9 ns,18
Kingston HyperX Predator RGB 16 GB,5.0,None,DDR4-2933,2 x 8GB,None,Black,10.228 ns,15
Corsair Vengeance RGB Pro 64 GB,None,None,DDR4-3600,4 x 16GB,None,Black,10 ns,18
Crucial CT4K8G4DFD824A 32 GB,None,$128.88,DDR4-2400,4 x 8GB,$4.027,Green / Black,14.167 ns,17
Corsair Vengeance RGB Pro 128 GB,None,None,DDR4-3200,8 x 16GB,None,Black,10 ns,16
Crucial Ballistix Sport LT 32 GB,None,None,DDR4-3000,2 x 16GB,None,Silver / Gray,10.667 ns,16
G.Skill Trident Z Royal 16 GB,None,None,DDR4-3600,2 x 8GB,None,Gold,10 ns,18
Patriot Viper Steel 16 GB,4.5,None,DDR4-3866,2 x 8GB,None,Silver / Black,9.312 ns,18
Corsair Vengeance LPX 64 GB,None,None,DDR4-4266,8 x 8GB,None,Black / Yellow,8.908 ns,19
Crucial Ballistix Sport LT 32 GB,5.0,None,DDR4-3200,2 x 16GB,None,White / Silver,10 ns,16
G.Skill Trident Z Royal 64 GB,5.0,None,DDR4-3200,4 x 16GB,None,Silver,10 ns,16
Crucial Ballistix Elite 16 GB,5.0,None,DDR4-3600,2 x 8GB,None,Black,8.889 ns,16
TEAMGROUP T-Force Vulcan Z 4 GB,None,None,DDR4-3200,1 x 4GB,None,Black,10 ns,16
TEAMGROUP T-Force Vulcan Z 8 GB,None,None,DDR4-2666,1 x 8GB,None,Black,13.503 ns,18
Corsair Vengeance RGB Pro 32 GB,None,None,DDR4-4000,4 x 8GB,None,Black,9 ns,18
Kingston HyperX Fury RGB 16 GB,4.5,None,DDR4-3000,2 x 8GB,None,Black,10 ns,15
Kingston HyperX Fury RGB 32 GB,None,None,DDR4-2400,2 x 16GB,None,Black,12.5 ns,15
Patriot Viper 4 Blackout 16 GB,None,$47.99,DDR4-4000,2 x 8GB,$2.999,Black,9.5 ns,19
Corsair Vengeance LPX 64 GB,None,None,DDR4-3000,2 x 32GB,None,Black / Yellow,10 ns,15
GeIL EVO POTENZA 32 GB,None,None,DDR4-3200,2 x 16GB,None,Red,10 ns,16
Kingston HyperX Predator RGB 32 GB,None,None,DDR4-3600,4 x 8GB,None,Black,9.444 ns,17
Kingston HyperX Predator RGB 8 GB,None,None,DDR4-3200,1 x 8GB,None,Black,10 ns,16
Corsair Vengeance RGB Pro 64 GB,None,None,DDR4-2666,2 x 32GB,None,Black,12.003 ns,16
ADATA XPG Z1 32 GB,None,None,DDR4-3200,2 x 16GB,None,Black / Silver,10 ns,16
Crucial Ballistix 16 GB,5.0,None,DDR4-3000,2 x 8GB,None,Black,10 ns,15
Crucial Ballistix 32 GB,5.0,None,DDR4-3200,2 x 16GB,None,Black,10 ns,16
Crucial Ballistix RGB 16 GB,5.0,None,DDR4-3600,2 x 8GB,None,Red,8.889 ns,16
Crucial Ballistix MAX 16 GB,4.5,None,DDR4-4400,2 x 8GB,None,Black,8.636 ns,19
OLOy MD4U0836180BHRDA 16 GB,None,None,DDR4-3600,2 x 8GB,None,Red,10 ns,18
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 16 GB,4.0,None,DDR4-3000,2 x 8GB,None,Black / Gold,10.667 ns,16
Corsair Vengeance LPX 16 GB,5.0,$89.51,DDR4-3600,2 x 8GB,$5.594,Black / Yellow,11.111 ns,20
G.Skill Trident Z Royal 64 GB,None,None,DDR4-3600,2 x 32GB,None,Gold,10 ns,18
OLOy OWL 16 GB,None,None,DDR4-3000,2 x 8GB,None,Orange,10.667 ns,16
OLOy OWL 32 GB,None,None,DDR4-3600,2 x 16GB,None,Orange,10 ns,18
Patriot Viper 4 Blackout 64 GB,4.5,None,DDR4-3600,2 x 32GB,None,Black,10 ns,18
ADATA XPG SPECTRIX D50 16 GB,5.0,None,DDR4-3200,2 x 8GB,None,Silver,10 ns,16
G.Skill Ripjaws V 32 GB,None,$69.40,DDR4-2666,2 x 16GB,$2.169,Red,14.254 ns,19
G.Skill Trident Z 32 GB,5.0,$149.00,DDR4-3200,2 x 16GB,$4.656,Silver / Black,10 ns,16
G.Skill Trident Z Neo 32 GB,4.0,None,DDR4-3800,2 x 16GB,None,Black / Silver,7.368 ns,14
TEAMGROUP T-Force Vulcan Z 8 GB,None,None,DDR4-3200,1 x 8GB,None,Red / Black,10 ns,16
G.Skill Ripjaws V 256 GB,None,None,DDR4-3200,8 x 32GB,None,Black,8.75 ns,14
Kingston ValueRAM 16 GB,None,None,DDR4-3200,1 x 16GB,None,Green,13.75 ns,22
Kingston HyperX Fury 64 GB,None,None,DDR4-2666,4 x 16GB,None,Black,12.003 ns,16
Kingston HyperX Predator RGB 64 GB,None,None,DDR4-3200,2 x 32GB,None,Silver / Black,10 ns,16
Neo Forza FAYE 16 GB,4.0,None,DDR4-3600,2 x 8GB,None,Silver / Black,10 ns,18
TEAMGROUP T-Force Zeus 32 GB,None,None,DDR4-3200,2 x 16GB,None,Red,12.5 ns,20
TEAMGROUP T-Create Classic 16 GB,None,None,DDR4-2666,2 x 8GB,None,Silver,14.254 ns,19
Corsair Vengeance RGB RS 128 GB,4.0,None,DDR4-3200,4 x 32GB,None,Black / Gray,10 ns,16
G.Skill Trident Z5 RGB 32 GB,None,None,DDR5-6000,2 x 16GB,None,Silver / Black,12 ns,36
G.Skill Trident Z Royal Elite 64 GB,None,None,DDR4-4000,2 x 32GB,None,Gold,9 ns,18
Corsair Dominator Platinum RGB 64 GB,None,None,DDR5-5200,2 x 32GB,None,Black,14.615 ns,38
Kingston FURY Beast 16 GB,None,$119.98,DDR5-6000,1 x 16GB,$7.499,Black / Silver,13.333 ns,40
Patriot Viper Steel 16 GB,None,None,DDR4-3600,2 x 8GB,None,Gray / Black,7.778 ns,14
G.Skill Ripjaws V 16 GB,None,None,DDR4-4000,2 x 8GB,None,Black,7 ns,14
